1A,Sov Mil Order of Malta
2A,Scotland
2D,Isle of Man
2E,England
2I,Northern Ireland
2J,Jersey
2M,Scotland
2U,Guernsey
2W,Wales
3G0X,San Felix & San Ambrosio
3G0Z,Juan Fernandez Islands
3B6,Agalega & St. Brandon
3B7,Agalega & St. Brandon
3B8,Mauritius
3B9,Rodriguez Island
3C0,Annobon Island
3D2,Fiji
3DA,Swaziland
3G0,Easter Island
3G7,Chile
3G8,Chile
3H0,China
3H9,China
3I0,China
3I9,China
3J0,China
3J9,China
3K0,China
3K9,China
3L0,China
3L9,China
3M0,China
3M9,China
3N0,China
3N9,China
3O0,China
3O9,China
3P0,China
3P9,China
3Q0,China
3Q9,China
3R0,China
3R9,China
3S0,China
3S9,China
3T0,China
3T9,China
3U0,China
3U9,China
3A,Monaco
3C,Equatorial Guinea
3E,Panama
3F,Panama
3G,Chile
3H,China
3I,China
3J,China
3K,China
3L,China
3M,China
3N,China
3O,China
3P,China
3Q,China
3R,China
3S,China
3T,China
3U,China
3V,Tunisia
3W,Vietnam
3X,Guinea
3Y,Antarctica
3Z,Poland
4A4,Revillagigedo
4B4,Revillagigedo
4C4,Revillagigedo
4M0,Aves Island
4A,Mexico
4B,Mexico
4C,Mexico
4D,Philippines
4E,Philippines
4F,Philippines
4G,Philippines
4H,Philippines
4I,Philippines
4J,Azerbaijan
4K,Azerbaijan
4L,Georgia
4M,Venezuela
4O,Montenegro
4P,Sri Lanka
4Q,Sri Lanka
4R,Sri Lanka
4S,Sri Lanka
4T,Peru
4V,Haiti
4W,Timor - Leste
4X,Israel
4Z,Israel
5J0,San Andres & Providencia
5K0,San Andres & Providencia
5A,Libya
5B,Cyprus
5C,Morocco
5D,Morocco
5E,Morocco
5F,Morocco
5G,Morocco
5H,Tanzania
5I,Tanzania
5J,Colombia
5K,Colombia
5L,Liberia
5M,Liberia
5N,Nigeria
5O,Nigeria
5P,Denmark
5Q,Denmark
5R,Madagascar
5S,Madagascar
5T,Mauritania
5U,Niger
5V,Togo
5W,Samoa
5X,Uganda
5Y,Kenya
5Z,Kenya
6D4,Revillagigedo
6E4,Revillagigedo
6F4,Revillagigedo
6G4,Revillagigedo
6H4,Revillagigedo
6I4,Revillagigedo
6J4,Revillagigedo
6A,Egypt
6B,Egypt
6C,Syria
6D,Mexico
6E,Mexico
6F,Mexico
6G,Mexico
6H,Mexico
6I,Mexico
6J,Mexico
6K,Republic of Korea
6L,Republic of Korea
6M,Republic of Korea
6N,Republic of Korea
6O,Somalia
6P,Pakistan
6Q,Pakistan
6R,Pakistan
6S,Pakistan
6T,Sudan
6U,Sudan
6V,Senegal
6W,Senegal
6X,Madagascar
6Y,Jamaica
6Z,Liberia
7A,Indonesia
7B,Indonesia
7C,Indonesia
7D,Indonesia
7E,Indonesia
7F,Indonesia
7G,Indonesia
7H,Indonesia
7I,Indonesia
7J,Japan
7K,Japan
7L,Japan
7M,Japan
7N,Japan
7O,Yemen
7P,Lesotho
7Q,Malawi
7R,Algeria
7S,Sweden
7T,Algeria
7U,Algeria
7V,Algeria
7W,Algeria
7X,Algeria
7Y,Algeria
7Z,Saudi Arabia
8A,Indonesia
8B,Indonesia
8C,Indonesia
